,City,CityID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
236,Bandarbeyla,64814,4,SO,1567825473,68,9.49,50.81,76.29,23.82
237,Port Hedland,2063042,19,AU,1567825473,50,-20.31,118.58,78.8,4.7
238,Santa Maria del Oro,3984078,100,MX,1567825473,78,25.95,-105.37,67.38,4.54
239,Orlik,3102488,0,PL,1567825474,100,53.95,17.74,48.99,2.24
240,Matara,425378,27,BI,1567825474,63,-3.48,29.48,52.71,1.52
241,Tuatapere,2180815,75,NZ,1567825475,68,-46.13,167.69,50.0,11.99
242,Forlimpopoli,3176743,41,IT,1567825475,88,44.19,12.12,63.0,9.17
243,Haines Junction,5969025,1,CA,1567825475,49,60.75,-137.51,54.99,3.38
244,Hithadhoo,1282256,67,MV,1567825475,75,-0.6,73.08,83.36,14.12
245,Port Macquarie,2152659,0,AU,1567825476,20,-31.43,152.91,75.99,19.46
246,Benguela,3351663,20,AO,1567825476,91,-12.58,13.4,69.83,10.96
247,Thompson,6165406,40,CA,1567825477,93,55.74,-97.86,44.6,3.36
248,Pedernales,3653307,74,EC,1567825477,82,0.07,-80.05,71.97,13.49
249,Motygino,1498314,0,RU,1567825477,42,58.18,94.69,56.34,2.84
250,Praia,3460954,0,BR,1567825478,68,-20.25,-43.81,66.2,10.29
251,Lokosovo,1500399,92,RU,1567825478,77,61.13,74.84,51.97,3.87
252,Hirado,1862555,90,JP,1567825478,100,33.32,129.49,80.6,25.28
253,Buluang,1717512,75,PH,1567825478,55,10.47,123.98,87.8,14.99
254,Urcos,3926462,97,PE,1567825479,50,-13.69,-71.62,51.8,5.82
255,Aras,3129839,73,ES,1567825479,81,42.56,-2.36,54.0,8.05
256,Eirunepe,3664321,100,BR,1567825479,94,-6.66,-69.87,72.62,2.35
257,Turukhansk,1488903,99,RU,1567825480,78,65.8,87.96,53.84,5.06
258,Divo,2289887,100,CI,1567825480,98,5.83,-5.36,71.84,2.51
259,Christchurch,2192362,20,NZ,1567825480,53,-43.53,172.64,55.99,8.05
260,Yar-Sale,1486321,9,RU,1567825480,76,66.83,70.83,56.04,12.06
261,Tilichiki,2120591,100,RU,1567825481,80,60.47,166.1,49.76,1.39
262,Taiyuan,1793511,0,CN,1567825482,33,37.86,112.56,77.0,2.24
263,Belaya Gora,2126785,26,RU,1567825482,51,68.54,146.19,51.36,4.03
264,Port Hardy,6111862,40,CA,1567825482,82,50.7,-127.42,60.8,4.7
265,Leningradskiy,2123814,32,RU,1567825482,79,69.38,178.42,44.93,5.7
266,Nuuk,3421319,98,GL,1567825483,93,64.17,-51.74,42.8,5.21
267,Coffs Harbour,2171085,0,AU,1567825483,30,-30.3,153.13,75.2,10.29
268,Vostok,2013279,100,RU,1567825483,81,46.45,135.83,71.37,2.46
269,Riyadh,108410,0,SA,1567825448,23,24.63,46.72,84.2,2.24
270,Boda,2388614,99,CF,1567825484,95,4.32,17.47,67.54,2.26
271,Kasane,933677,0,BW,1567825484,41,-17.8,25.16,63.18,15.61
272,Dezful,136256,0,IR,1567825485,22,32.38,48.4,80.25,4.14
273,Bethel,5880568,90,US,1567825485,82,60.79,-161.76,57.2,11.41
274,Celestun,3531368,0,MX,1567825485,79,20.87,-90.4,83.34,14.0
275,Yatou,2225940,75,CM,1567825485,100,3.63,9.81,75.2,2.24
276,Ribeira Grande,3372707,9,PT,1567825486,69,38.52,-28.7,69.66,8.86
277,Sangar,2017215,100,RU,1567825486,75,63.92,127.47,51.43,6.51
278,Veraval,3031871,44,FR,1567825487,93,49.65,0.71,60.8,4.7
279,Karaj,128747,0,IR,1567825487,28,35.81,51.01,73.4,3.38
280,Yuma,5322053,1,US,1567825487,26,32.73,-114.62,104.0,4.7
281,Sokolac,3190385,40,BA,1567825488,100,43.94,18.8,57.2,2.24
282,Mangrol,1263751,3,IN,1567825488,70,25.33,76.51,86.42,3.53
283,Shache,1280037,67,CN,1567825488,92,38.42,77.24,63.0,4.43
284,Airai,1651810,0,TL,1567825489,52,-8.93,125.41,81.62,7.18
285,Kahului,5847411,40,US,1567825319,58,20.89,-156.47,84.2,20.8
286,Sandomierz,759603,0,PL,1567825489,100,50.68,21.75,55.99,2.24
287,Lorengau,2092164,52,PG,1567825489,71,-2.02,147.27,83.18,11.16
288,Galesong,1644605,20,ID,1567825490,46,-5.32,119.37,89.6,9.17
289,Fairbanks,5861897,1,US,1567825232,42,64.84,-147.72,64.4,1.81
290,Ashqelon,295620,20,IL,1567825490,78,31.67,34.57,75.2,4.7
291,La Ronge,6050066,75,CA,1567825491,93,55.1,-105.3,48.2,3.47
292,Sherlovaya Gora,2016735,100,RU,1567825491,92,50.53,116.31,54.76,11.74
293,Flinders,6255012,0,AU,1567825491,30,-34.58,150.85,64.0,28.86
294,Kyabe,2429344,98,TD,1567825491,98,9.45,18.94,71.12,2.77
295,Nalut,2214433,2,LY,1567825492,90,31.86,10.98,65.97,18.84
296,Quatre Cocos,1106643,40,MU,1567825288,94,-20.21,57.76,71.01,4.7
297,Chuy,3443061,100,UY,1567825492,97,-33.69,-53.46,54.6,13.11
298,Srikakulam,1255647,100,IN,1567825492,87,18.29,83.89,78.47,3.06
299,Moerai,4034188,0,PF,1567825493,68,-22.43,-151.33,67.59,18.1
300,Santa Vitoria do Palmar,3449747,100,BR,1567825352,97,-33.52,-53.37,56.58,9.4
301,San Joaquin,1689597,5,PH,1567825332,70,10.59,122.14,85.34,9.37
302,Uige,2236568,94,AO,1567825493,87,-7.61,15.06,69.97,2.71
303,Eenhana,3357804,91,NA,1567825494,14,-17.48,16.34,77.0,5.82
304,Callaway,5024237,1,US,1567825494,77,46.98,-95.91,61.0,6.06
305,Sobolevo,525426,63,RU,1567825494,94,54.43,31.9,51.16,5.88
306,Verkhoturye,1487219,11,RU,1567825495,90,58.86,60.81,47.87,1.92
307,Yulara,6355222,0,AU,1567825495,16,-25.24,130.99,69.8,13.87
308,Manaure,3675504,0,CO,1567825495,87,11.78,-72.45,81.72,15.84
309,Masallatah,2215163,0,LY,1567825495,89,32.62,14.0,68.55,4.72
310,Bontang,1648186,65,ID,1567825496,62,0.12,117.47,87.03,3.47
311,Elk Point,5947754,90,CA,1567825496,63,53.9,-110.9,60.8,3.36
312,Uyemskiy,477579,0,RU,1567825496,100,64.47,40.85,51.8,4.47
313,Maloye Verevo,530480,0,RU,1567825496,93,59.61,30.17,48.2,4.47
314,Awjilah,88533,0,LY,1567825497,61,29.14,21.3,74.22,5.79
315,Los Llanos de Aridane,2514651,40,ES,1567825485,68,28.66,-17.92,71.6,4.7
316,Bondo,218253,100,CD,1567825497,96,3.81,23.69,69.18,0.85
317,Provideniya,4031574,85,RU,1567825497,67,64.42,-173.23,50.06,8.03
318,Owando,2255542,77,CG,1567825498,88,-0.49,15.91,71.75,2.59
319,Bloemfontein,1018725,0,ZA,1567825498,81,-29.12,26.22,46.4,4.7
320,Yumen,1528998,0,CN,1567825499,28,40.29,97.04,78.0,18.72
321,Machakos,188492,75,KE,1567825266,87,-1.52,37.27,62.6,5.28
322,Jacareacanga,3397763,12,BR,1567825499,82,-6.22,-57.76,74.09,0.92
323,Trincomalee,1226260,90,LK,1567825449,62,8.58,81.23,84.32,11.03
324,Kendari,1640344,11,ID,1567825499,51,-3.99,122.52,86.94,6.69
325,Yaan,2338660,63,NG,1567825500,92,7.38,8.57,74.2,4.88
326,Qena,350550,0,EG,1567825501,44,26.16,32.72,80.6,4.81
327,Sitka,4267710,0,US,1567825501,79,37.17,-99.65,77.0,8.99
328,Hohhot,2036892,0,CN,1567825501,33,40.81,111.65,77.0,4.47
329,Lubango,3347762,68,AO,1567825501,90,-14.92,13.49,63.89,1.43
330,Tura,2014833,0,RU,1567825502,62,64.27,100.22,54.44,5.14
331,Margate,2158744,75,AU,1567825502,76,-43.03,147.26,50.0,18.34
332,Puri,1635111,72,ID,1567825503,40,-7.54,112.45,88.78,10.27
333,Bathsheba,3374083,20,BB,1567825503,94,13.22,-59.52,77.0,4.7
334,Koslan,544084,6,RU,1567825280,95,63.46,48.9,49.47,7.52
335,Eyl,60019,63,SO,1567825504,69,7.98,49.82,74.6,29.91
336,Bako,2360627,57,BF,1567825504,88,12.29,-0.73,75.59,8.32
337,Osypenko,699329,0,UA,1567825506,76,48.04,34.39,61.0,8.95
338,Santiago,1687801,100,PH,1567825506,56,16.69,121.54,90.42,1.54
